Plotnummer,Rueckegasse,Esche markiert,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Blattflecken,Bemerkungen,Zaun,Ausgeschlossen Rand Zaun
,,,Esch,27,5,,,,,T1,,,,,FALSE,FALSE
,,SO,Esch,15,1,,,,,,,,1,,FALSE,FALSE
,,,SAh,18,,,,,,,,,,,FALSE,FALSE
8932,,NO,Esch,8,1,,,,,,,,1,,FALSE,FALSE
,,,Esch,9,1,,,,,,,,,,FALSE,FALSE
,,,Esch,14,1,,,,,,,,,,FALSE,FALSE
,,,Esch,9,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,1,,,,,,,,,FALSE,FALSE
,,SO,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,SW,Esch,15,1,,,,,,,,3,,FALSE,FALSE
,,,BAH,30,,,,,,,,,,,FALSE,FALSE
,,,Esch,12,1,,,,,,,,,,FALSE,FALSE
,,,Esch,14,2,,,,,,,,,,FALSE,FALSE
,,,Esch,11,2,,,,,,,1,,,FALSE,FALSE
,,NW,Esch,4,1,,,,,,,,2,,FALSE,FALSE
,,,BAH,11,,,,,,,,,,,FALSE,FALSE
8933,,NO,Esch,7,1,1,,,,,,,,,FALSE,FALSE
,,MITTE,Esch,7,1,1,,,,,,,1,,FALSE,FALSE
,,,Esch,7,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,10,1,1,,,,,,,,,FALSE,FALSE
,,NW,Esch,10,1,1,,,,,,,,,FALSE,FALSE
8934,,NW,Esch,20,3,,,,,,,,,,FALSE,FALSE
,,,RBu,14,,,,,,,,,,,FALSE,FALSE
,,,Esch,12,1,1,,,,,,,,,FALSE,FALSE
,,,BAH,14,,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,9,1,,,,,,,,,,FALSE,FALSE
,,,Esch,5,7,,,,,,,,,,FALSE,FALSE
,,MITTE,Esch,22,4,,,,,,,1,1,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,RBU,17,,,,,,,,,,,FALSE,FALSE
,,SW,Esch,19,2,,,,,,,,1,,FALSE,FALSE
8935,1,NW,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,SWe,7,,,,,,,,,,,FALSE,FALSE
,,,SWe,3,,,,,,,,,,,FALSE,FALSE
,,,SWe,8,,,,,,,,,,,FALSE,FALSE
,,,SWe,5,,,,,,,,,,,FALSE,FALSE
,,,SWe,6,,,,,,,,,,,FALSE,FALSE
,,,SWe,5,,,,,,,,,,,FALSE,FALSE
,,,SWe,3,,,,,,,,,,,FALSE,FALSE
8936,1,SW,Esch,4,3,,,,,,,T2,1,,FALSE,FALSE
,,,Esch,6,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,4,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,,SWe,2,,,,,,,,,,,FALSE,FALSE
,,,Esch,3,1,1,,,,,,,,,FALSE,FALSE
,,,SWe,2,,,,,,,,,,,FALSE,FALSE
,,,SWe,3,,,,,,,,,,,FALSE,FALSE
,,,Esch,13,2,,,,,,,,,,FALSE,FALSE
,,,Esch,11,2,,,,,,,1,,,FALSE,FALSE
,,NW,Esch,5,1,1,,,,,,,1,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,NO,Esch,15,2,,,,,,,,5,,FALSE,FALSE
,,MITTE,Esch,9,2,,,,,,1,,2,,FALSE,FALSE
8937,1,SO,Esch,7,1,,,,,,,,1,,FALSE,FALSE
,,,Esch,13,2,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,1,,,,,,,,,FALSE,FALSE
,,,SWe,2,,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,1,,,,,,,,,FALSE,FALSE
