Plotnummer,Rueckegasse,Esche markiert,Gefunden,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Gruene Hoehe,Aceria fraxinivora,Nicht gerade,Bemerkungen
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,so,t,esch,5,1,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,sw,t,esch,15,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,13,5,,,1,,,,,,,,
,,,,bah,34,,,,,,,,,,,,
,,,,esch,14,1,,,,,,,,,,,
,,,,esch,12,2,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,esch,14,2,,,,,,,1,,,,
,,nw,t,esch,6,1,,,,,,,,,,,
8933,,,,esch,8,1,t,,,,,,,,,,
,,no,t,esch,14,1,,,,,,,,,,,
,,,,esch,19,1,,,,,,,,,,,
,,mitte,t,esch,14,1,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,nw,t,esch,19,1,,,,,,,,,,,
8934,,nw,t,esch,29,6,,1,,,t1,,,26,,,
,,,, esch,20,1,,,,,,,,,,,
,,,,bah,21,,,,,,,,,,,,
,,,,rbu,23,,,,,,,,,,,,
,,,,esch,15,3,,,,,2,,,,,,
,,,,esch,26,1,,,,,,,,,,,
,,,,esch,14,12,,,,,,1,,,,,
,,Mitte,t,esch,22,4,,,,,,,4,,,,tot
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,13,1,,,,,1,,,,,,
,,sw,t,esch,19,2,,,,,,,2,,,,tot
,,,,rbu,24,,,,,,,,,,,,
8935,t,nw,t,esch,13,1,,,,,,,,,,,
,,,,WeideSa,17,,,,,,,,,,,,
,,,,WeideSa,22,,,,,,,,,,,,
,,,,WeideSa,20,,,,,,,,,,,,
,,,,WeideSa,20,,,,,,,,,,,,
,,,,WeideSa,42,,,,,,,,,,,,
8936,t,no,t,esch,14,1,,,,,,,1,,,,
,,,,esch,5,1,,,,,,,,,,,
,,Mitte,t,esch,11,1,,,,,,1,,,,,
,,,,esch,6,1,t,,,,,,,,,,
,,nw,t,esch,7,2,,,,,,,,,,,
,,,,esch,13,2,,,,,,,,,,,
,,,,esch,13,1,,,,,,,,,,,
,,,,esch,4,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,sw,t,esch,5,3,,,,,,,,,,,
8937,t,no,t,esch,10,1,,,,,,,,,,,
,,so,t,esch,7,1,,,,,,,,,,,
,,,,esch,12,2,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,8,2,,,,,,,1,,,t,liegend
,,,,lindewi,40,,,,,,,,,,,,
,,sw,t,esch,6,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
8938,t,,,esch,7,1,,,,,,,,,,,
,,sw,t,esch,6,1,,,,,,,,,,,
,,,,esch,4,2,,,,,t1,,,,,,
,,,,esch,11,1,,,,,,,1,,,,
,,,,esch,10,2,,,t1,,,,,6,,,
,,no,t,esch,9,1,,,,,,,,,,,keine Blätter
,,,,esch,21,1,,,,,,,,,,,
,,nw,t,esch,7,2,,1,,,,,,,,,
8939,t,sw,t,esch,19,1,,,,,,,,,,,
,,,,esch,37,2,,,,,t1,,,,,,
,,,,esch,20,2,,,,,,,,,,,
,,mitte,t,esch,19,1,,,,,t1,,,15,,,
,,,,esch,13,1,,,,,,,,,,,
,,,,rbu,34,,,,,,,,,,,,
,,,,bah,28,,,,,,,,,,,,
,,,,esch,17,2,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,esch,20,1,,,,,,,,,,,
,,no,t,esch,12,1,,,,,,,,,,,
,,,,esch,18,2,,,,,,,,,,,
,,,,Sah,16,,,,,,,,,,,,
8940,t,,,rbu,127,,,,,,,,,,,,wird von linde domeniert
,,,,lindewi,120,,,,,,,,,,,,
,,nw,t,esch,4,1,,,,,,,1,,,,tot
,,,,esch,14,5,,,,,,,4,,,,
,,,,esch,17,4,,,,,,,,,,,
,,,,esch,18,1,,,,,,,,,,,
,,sw,t,esch,13,2,,,,,,,1,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,lindewi,18,,,,,,,,,,,,
,,,,esch,20,3,,,,,,,1,,,,
,,no ,f  ,,,,,,,,,,,,,,
8941,t,no,t,esch,8,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,9,2,,,,,,,,,,,
,,,,esch,13,1,,,,,,,,,,,
,,,,esch,27,3,,,,,,1,1,,,,
,,,,rbu,28,,,,,,,,,,,,
,,,,esch,12,2,,,,,,1,,,,,
,,so,t,esch,13,1,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,rbu,29,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,nw,t,esch,22,2,,,,,,,2,,,,tot
,,,,esch,5,1,,,,,,,,,,,
,,sw,t,esch,11,1,,,,,,,,,,,
