Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,nord,,esche,68,52,,,,,1,,,,,,,,
,,,esche,113,69,,,,,1,,,,,,,,
35,süd,,esche,65,63,45,,,,2,,,,,,1,,
,,,esche,83,64,48,,,,1,,,,,,,,
,,,pfaffe,245,170,147,,,,,,,,,,,,
,,,pfaffe,179,100,,,,,,,,,,,,,
,,,pfaffe,261,104,,,,,,,,,,,,,
,,,pfaffe,164,44,15,,,,,,,,,,,,
,,,pfaffe,435,226,147,,,,,,,,,,,,
,,,pfaffe,156,134,123,,,,,,,,,,,,
,west,,pfaffe,222,161,128,,,,,,,,,,,,
,,,pfaffe,78,23,10,,,,,,,,,,,,
,,,pfaffe,111,,,,,,,,,,,,,,
,,,esche,111,92,71,,,,1,,,,,,,,
,,,pfaffe,345,281,241,,,,,,,,,,,,
,,,pfaffe,206,191,,,,,,,,,,,,,
,,,pfaffe,205,181,167,,,,,,,,,,,,
,nord,,pfaffe,124,112,71,,,,,,,,,,,,
,,,pfaffe,193,158,86,,,,,,,,,,,,
,,,pfaffe,88,,,,,,,,,,,,,,
,,,pfaffe,105,47,96,420,330,297,,,,,,,,wächst  einer kurve,
,ost,,pfaffe,214,203,102,,,,,,,,,,,,
,,,pfaffe,170,113,49,,,,,,,,,,,,
36,west,,esche,176,158,150,,,,3,,t1,,,,,,
,,,rbu,687,675,659,,,,,,,,,,,,
,süd,,esche,184,137,119,,,,1,,,,,,,,
,,,esche,59,51,46,,,,1,,,,,,,,
,ost,,esche,98,78,71,,,,1,,,,t1,,,,
,nord,,esche,281,273,242,,,,6,,1,,,,t2,krebs t1,
37,ost,,esche,142,135,131,,,,1,,,,,,,,
,,,esche,89,73,65,,,,1,,,,,,,,
,,,esche,105,104,93,,,,3,,,,,,2,,
,,,linde,805,738,731,,,,,,,,,,,,
,süd,,esche,63,55,52,,,,2,,,,,,,,
,,,esche,86,71,,,,,1,,,,,,,,
,,,esche,70,55,,,,,,,,,,,,,
,west,,esche,209,204,190,,,,4,,1,,,,1,,
,,,linde,403,381,369,,,,,,,,,,,,
,,,esche,79,61,,,,,2,,,,,,1,,
,,,esche,108,100,98,,,,2,,,,,,1,,
,nord,,ulmus glabra,602,241,212,,,,,,,,,,,,
,,,esche,189,179,144,,,,1,,,,,,,,
,,,esche,88,,,,,,1,,,,,,,,
,,,esche,85,,,,,,1,,,,,,,,
,,,esche,111,103,91,,,,1,,,,,,,,
,,,esche,111,98,90,,,,1,,,,,,,,
38,,,holunder,411,240,199,,,,,,,,,,,,
39,nord,,esche,63,52,48,,,,1,,,,,,,,
,,,esche,81,59,,,,,1,,,,,,,,
,west,,esche,96,78,,,,,1,,,,,,,,
,,,esche,60,25,,,,,2,,,,,,1,,
,,,esche,47,44,,,,,1,,,,,,,,
,,,esche,71,59,,,,,1,,,,,,,,
,,,esche,85,50,,,,,1,,,,,,,,
,süd,,esche,78,65,,,,,1,,,,,,,,
,,,esche,105,104,100,,,,4,,,,,1,2,,
,,,esche,135,129,116,,,,2,,,,,,,,
,ost,,esche,68,56,40,,,,1,,,,,,,,
40,nord,,ulmus glabra,888,880,668,,,,,,,,,,,,
,,,esche,198,169,115,,,,1,,,,,,,,
,,,esche,235,124,147,,,,3,,,,,,1,,
,,,esche,170,145,114,214,191,157,1,,,,,,,,
,,,hbu,235,159,110,,,,,,,,,,,,
,,,esche,205,202,196,,,,2,,,,,,,,
,,,hbu,211,134,,,,,,,,,,,,,
,,,hbu,457,413,300,,,,,,,,,,,,
,west,,esche,256,191,180,,,,1,,,,,,,,
,,,esche,283,212,168,,,,1,,,,,,,,
,,,esche,178,122,98,,,,1,,,,,,,,
,,,esche,157,101,72,213,157,119,1,,,,,,,,
,,,esche,158,134,118,,,,8,,1,,,,t2,,
,,,esche,209,144,138,,,,1,,,,,,,krebs aceria,
,ost,,esche,241,181,111,,,,1,,,,,,,,
,,,ulmus glabra,2215,1715,1140,,,,,,,,,,,,
,,,esche,560,404,319,,,,4,,1,,,,1,,
,,,esche,88,82,49,,,,4,,t3,,,,,,
,,,esche,143,110,95,,,,2,,,,,,1,,
,,,esche,237,233,177,,,,3,,,,,,1,,
,,,esche,312,223,171,,,,1,,,,,,,,
,,,esche,150,164,121,232,171,121,1,,,,,,,,
57,ost,,ulmus glabra,413,328,1,,,,,,,,,,,"baum 140 im o-quadrant, stockausschlag",
,nord,, ,,,,,,,,,,,,,,,
,west,,ulmus glabra,503,498,453,2800,,,,,,,,,,von totholz umgeknickt,
,,,ulmus glabra,1180,1132,1085,,,,,,,,,,, ,
,,,ulmus glabra,1384,1310,1275,,,,,,,,,,, ,
,,,ulmus glabra,852,845,827,,,,,,,,,,, ,
,,,ulmus glabra,907,888,872,2500,,,,,,,,,,von totholz umgeknickt,
,süd,,esche,80,68,46,,,,2,,,,,,1,,
,,,esche,63,58,23,,,,1,,,,,,,,
58,nord,,pfaffe,233,148,130,408,318,213,,,,,,,,,
,ost,,pfaffe,152,13,,270,42,,,,,,,,,,
,,,pfaffe,132,87,85,210,151,142,,,,,,,,,
,,,pfaffe,132,125,112,,,,,,,,,,,,
,,,esche,141,95,66,,,,1,,,,,,,,
,süd,,ulmus glabra,181,165,150,247,213,200,,,,,,,,,
,,,pfaffe,240,75,40,,,,,,,,,,,,
,,,ulmus glabra,295,201,168,,,,,,,,,,,,
,,,ulmus glabra,315,235,110,,,,,,,,,,,,
,,,pfaffe,85,75,68,,,,,,,,,,,,
,,,pfaffe,230,205,175,,,,,,,,,,,,
,,,pfaffe,180,55,,,,,,,,,,,,,
,,,pfaffe,153,146,131,,,,,,,,,,,,
