Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
6,S,,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,Keine Bäume,
,,,Pfaffe,95,66,46,176,142,110,,,,,,,,,
,,,Pfaffe,83,70,51,111,101,82,,,,,,,,,
,,,Pfaffe,135,75,60,231,169,151,,,,,,,,,
,,,Pfaffe,80,67,47,111,98,73,,,,,,,,,
,,,Pfaffe,100,83,49,144,126,55,,,,,,,,,
,,,Pfaffe,80,66,50,88,77,68,,,,,,,,,
,,,Pfaffe,138,110,75,269,229,195,,,,,,,,,
,O,,Pfaffe,151,143,137,241,228,220,,,,,,,,,
,,,Pfaffe,234,230,215,305,300,285,,,,,,,,,
,,,Pfaffe,153,117,25,397,350,24,,,,,,,,,
,,,Pfaffe,74,37,16,339,300,252,,,,,,,,,
,,,Pfaffe,125,111,102,228,215,201,,,,,,,,,
,,,Pfaffe,158,124,102,169,119,90,,,,,,,,,
,,,Esche,152,109,98,168,123,109,4,,2,,,,,,
,,,Pfaffe,140,134,25,287,281,107,,,,,,,,,
,,,Pfaffe,150,136,102,260,249,212,,,,,,,,,
,,,Pfaffe,128,105,94,302,274,249,,,,,,,,,
,,,Pfaffe,159,150,88,398,370,263,,,,,,,,,
,,,Pfaffe,181,172,162,416,404,387,,,,,,,,,
,,,Pfaffe,120,72,44,175,76,33,,,,,,,,,
,,,BAh,172,145,116,181,151,122,,,,,,,,,
,,,Esche,55,49,,55,49,,3,,,1,,,1,,
,,,Pfaffe,197,82,24,253,116,23,,,,,,,,,
,,,Pfaffe,125,24,1,148,39,1,,,,,,,,,
,,,Pfaffe,123,85,17,207,164,77,,,,,,,,,
,,,Esche,111,92,75,144,122,99,1,,,,,,,,
,,,Esche,75,64,45,,,,1,,,,,,,,
,W,,BAh,434,419,406,486,463,442,,,,,,,,,
,,,Pfaffe,74,62,36,108,77,42,,,,,,,,,
,,,Esche,208,170,132,,,,1,,,,,,,,
,,,Esche,100,83,75,,,,1,,,,,,,,
,,,Pfaffe,85,67,49,141,112,101,,,,,,,,,
,,,Pfaffe,163,441,,,,,,,,,,,,,
,,,Esche,98,81,57,172,157,133,1,,,,,,,,
,,,Esche,85,79,53,132,121,100,1,,,,,,,,
,,,Pfaffe,192,133,50,287,227,124,,,,,,,,,
,,,Pfaffe,87,40,23,385,328,294,,,,,,,,,
,,,Esche,149,120,100,,,,1,,,,,,,,
,,,BAh,78,51,38,91,68,51,,,,,,,,,
