"","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Bemerkungen","Zaun","Ausgeschlossen.Rand.Zaun","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal"
"93",NA,FALSE,"MITTE","GEs",6,1,TRUE,NA,NA,NA,NA,NA,NA,4,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"94",NA,FALSE,"NW","GEs",7,1,TRUE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"95",NA,FALSE,"SO","GEs",15,1,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"96",8932,FALSE,"NO","GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"97",NA,FALSE,"SO","GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"98",NA,FALSE,"SW","GEs",15,1,FALSE,NA,NA,NA,NA,NA,NA,3,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"99",NA,FALSE,"NW","GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,2,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"100",8933,FALSE,"NO","GEs",7,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"101",NA,FALSE,"MITTE","GEs",7,1,TRUE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"102",NA,FALSE,"NW","GEs",10,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103",8934,FALSE,"NW","GEs",20,3,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"104",NA,FALSE,"MITTE","GEs",22,4,FALSE,NA,NA,NA,NA,NA,1,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"105",NA,FALSE,"SW","GEs",19,2,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"106",8935,TRUE,"NW","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"107",8936,TRUE,"SW","GEs",4,3,FALSE,NA,NA,NA,NA,NA,2,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"108",NA,TRUE,"NW","GEs",5,1,TRUE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"109",NA,TRUE,"NO","GEs",15,2,FALSE,NA,NA,NA,NA,NA,NA,5,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
