"","Bemerkungen","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Zaun","Ausgeschlossen.Rand.Zaun","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","Reihenfolge","Aceria.fraxinivora","nicht.gerade","gruene.hoehe","tot","manuell.checken","mehr.ressourcen","ETS","Triebe.lebend"
"80","",8911,FALSE,"SO","GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"81","",8911,FALSE,"NW","GEs",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,81,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"82","",8911,FALSE,"MITTE","GEs",6,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,82,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"84","",8913,FALSE,"SW","GEs",9,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"85","",8913,FALSE,NA,"GEs",4,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"86","",8913,FALSE,"MITTE","GEs",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,86,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"87","",8913,FALSE,"NW","GEs",11,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,87,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"88","",8913,FALSE,NA,"GEs",11,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,88,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"89","",8914,FALSE,"NW","GEs",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,89,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"90","",8914,FALSE,NA,"GEs",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
