"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Rueckegasse"
"156",8739,46,5,17,20,"goe_ans",12.98,10,59,6,0,0,0,0,"",FALSE
"157",8740,7,4,2,1,"goe_ans",19.57,15,43,10,0,0,0,0,"",FALSE
"158",8741,17,2,16,0,"goe_ans",16.41,11,90,6,0,0,0,1,"",FALSE
"159",8742,32,4,21,7,"goe_ans",11.53,8.5,97,5,0,0,0,0,"in der Mitte Baum 62",FALSE
"160",8743,96,3,61,34,"goe_ans",8.35,8,20,4,0,0,0,0,"",FALSE
"161",8744,62,3,44,13,"goe_ans",10.05,9,32,4,1,0,1,2,"",FALSE
"162",8745,123,2,101,22,"goe_ans",14.15,13,44,5,0,1,1,1,"",FALSE
"163",8746,21,3,13,5,"goe_ans",29.14,22,124,7,3,0,3,0,"",FALSE
"164",8747,52,4,35,8,"goe_ans",15.92,11,64,4,1,2,3,0,"baum 146 in so ecke",FALSE
"165",8748,30,4,26,0,"goe_ans",7.83,8,11,5,0,0,0,1,"",FALSE
"166",8749,6,2,5,1,"goe_ans",12.83,9.5,25,3,1,0,1,0,"",FALSE
"167",8750,92,3,71,20,"goe_ans",12.58,10.5,57,2,3,0,3,5,"",FALSE
"168",8751,101,3,63,36,"goe_ans",14.53,13,100,7,0,1,1,2,"",FALSE
"169",8752,35,2,33,2,"goe_ans",26.46,25,62,8,0,2,2,0,"",FALSE
"170",8753,20,3,14,4,"goe_ans",14.95,15,27,8,0,0,0,1,"",FALSE
"171",8754,45,3,18,26,"goe_ans",10.22,9,43,5,0,0,0,0,"",FALSE
"172",8755,70,3,29,39,"goe_ans",10.1,10,15,5,0,0,0,0,"",FALSE
"173",8756,50,4,26,21,"goe_ans",13.18,11,42,6,0,0,0,0,"",FALSE
"174",8757,68,3,43,24,"goe_ans",13.91,8,400,5,0,0,0,1,"",FALSE
