"","Bemerkungen","Plotnummer","Rueckegasse","Esche.markiert","Gefunden","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Gruene.Hoehe","Aceria.fraxinivora","Nicht.gerade","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","Aceria.fraxinivora.terminal","Tot_22","mehr.ressourcen","nochmal.checken","ETS","Triebe.lebend"
"61","",8908,FALSE,"NW",TRUE,"GEs",10,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"62","",8908,FALSE,NA,NA,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"63","",8908,FALSE,"SO",TRUE,"GEs",9,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"64","",8909,FALSE,"SW",TRUE,"GEs",13,3,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"65","",8909,FALSE,NA,NA,"GEs",12,3,FALSE,0,0,0,0,0,2,NA,2,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"66","",8909,FALSE,"MITTE",TRUE,"GEs",13,2,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"67","",8909,FALSE,"NW",TRUE,"GEs",6,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"68","Baum 33 liegt im Plot",8910,FALSE,"NW",TRUE,"GEs",7,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"69","",8910,FALSE,NA,NA,"GEs",11,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"70","",8910,FALSE,NA,NA,"GEs",19,2,FALSE,0,0,0,0,0,0,NA,0,FALSE,"goe_pol",2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
