"","Plotnummer","n_trees_2021","n_species_2021","n_ash_2021","n_bah_2021","height_mean_2021","height_median_2021","height_max_2021","height_min_2021","n_ets_new_2021","n_ets_old_2021","n_ets_total_2021","Verbiss_2021","comment_2021","Zaun_2021","Ausschluss_2021","Rueckegasse_2021","n_trees_2022","n_species_2022","n_ash_2022","n_bah_2022","location","height_mean_2022","height_median_2022","height_max_2022","height_min_2022","n_ets_new_2022","n_ets_old_2022","n_ets_total_2022","Verbiss_2022","comment_2022","Rueckegasse_2022","x","y","TSF","DSF","ISF","ets_2021_ratio","ets_2022_ratio","ETS_ratio","n_ash","n_bah","n_trees","Zuwachs","ZuwachsBAh","ZuwachsGEs"
"67",8967,24,2,23,0,7.46,7.5,16,2,0,0,0,0,"",TRUE,FALSE,FALSE,16,2,15,0,"goe_pol",10.38,10,20,5,0,0,0,1,"",FALSE,10.9308710188249,29.1578394568411,0.2,0.19,0.21,0,0,0,19,0,20,3,NA,3
"68",8968,4,1,4,0,4.75,4.5,7,3,1,0,1,0,"",TRUE,FALSE,FALSE,4,1,4,0,"goe_pol",7.5,7.5,11,4,0,0,0,0,"",FALSE,11.9448074956075,24.4575699658567,0.25,0.27,0.22,0.25,0,0.125,4,0,4,3.5,NA,3.5
"69",8969,11,2,8,0,5.27,4,13,2,0,0,0,0,"",TRUE,FALSE,FALSE,7,2,6,0,"goe_pol",8.71,9,12,5,0,0,0,1,"",FALSE,16.8409215487163,25.4309489835679,0.22,0.24,0.2,0,0,0,7,0,9,2.5,NA,2
"70",8970,18,1,18,0,10.83,9.5,22,5,0,0,0,1,"",TRUE,FALSE,FALSE,19,1,19,0,"goe_pol",11.58,11,22,6,0,0,0,2,"",FALSE,21.7370356018252,26.4043280012792,0.2,0.19,0.22,0,0,0,18.5,0,18.5,0.5,NA,0.5
"71",8971,10,3,8,1,7.8,8,16,3,0,0,0,0,"",TRUE,FALSE,FALSE,7,2,6,1,"goe_pol",15.14,14,28,8,0,0,0,1,"",FALSE,26.633149654934,27.3777070189904,0.18,0.16,0.22,0,0,0,7,1,8.5,7,12,7
"72",8972,29,1,29,0,7.59,7,15,4,2,0,2,1,"",TRUE,FALSE,FALSE,30,2,29,1,"goe_pol",8.77,9,13,6,0,0,0,2,"",FALSE,31.5292637080428,28.3510860367017,0.21,0.21,0.22,0.0689655172413793,0,0.0344827586206897,29,0.5,29.5,1,NA,1
"73",8973,19,3,17,1,8.63,6,33,4,1,0,1,0,"",TRUE,FALSE,FALSE,17,3,15,1,"goe_pol",10.29,8,38,4,0,0,0,0,"",FALSE,36.4253777611517,29.3244650544129,0.2,0.25,0.13,0.0588235294117647,0,0.0294117647058824,16,1,18,1,2,1
"74",8974,31,4,26,3,7.81,6,25,4,4,0,4,1,"",TRUE,FALSE,FALSE,24,3,21,2,"goe_pol",8.83,8,30,5,0,0,0,1,"",FALSE,41.3214918142605,30.2978440721242,0.37,0.47,0.23,0.153846153846154,0,0.0769230769230769,23.5,2.5,27.5,-1,-4,0
"75",8975,13,2,12,1,6.69,5,17,3,0,0,0,0,"",TRUE,FALSE,FALSE,10,3,7,2,"goe_pol",8.2,7,17,4,0,0,0,0,"tot",FALSE,46.2176058673693,31.2712230898355,0.33,0.41,0.2,0,0,0,9.5,1.5,11.5,0,0,1
"76",8976,35,5,29,2,11.34,10,24,6,0,1,1,1,"",TRUE,FALSE,FALSE,41,4,36,2,"goe_pol",16.61,14,40,6,1,0,1,1,"",FALSE,51.1137199204781,32.2446021075467,0.24,0.3,0.15,0.0344827586206897,0.0277777777777778,0.0311302681992337,32.5,2,38,7,3,6
