"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Zaun","Ausschluss","Rueckegasse"
"110",9010,13,3,5,7,"goe_pol",14.85,12,46,7,0,0,0,0,"",TRUE,FALSE,FALSE
"111",9011,29,4,23,3,"goe_pol",10.21,7,29,5,3,0,3,2,"",TRUE,FALSE,FALSE
"112",9012,5,2,4,0,"goe_pol",6.4,6,11,3,1,0,1,0,"",TRUE,FALSE,FALSE
"113",9013,13,4,6,1,"goe_pol",13.08,8,59,3,0,0,0,0,"",TRUE,FALSE,FALSE
"114",9014,4,3,0,0,"goe_pol",6.5,5.5,11,4,0,0,0,0,"",TRUE,FALSE,FALSE
"115",9015,9,4,4,1,"goe_pol",19.33,9,95,4,0,0,0,0,"",TRUE,FALSE,FALSE
"116",9016,14,4,11,1,"goe_pol",6.79,7,11,3,0,0,0,0,"",TRUE,FALSE,FALSE
"117",9017,22,5,12,1,"goe_pol",17.91,7,170,3,1,0,1,0,"",TRUE,FALSE,FALSE
"118",8701,38,4,21,8,"goe_ans",12.21,10,42,3,0,0,0,0,"",TRUE,FALSE,FALSE
"119",8702,57,5,22,19,"goe_ans",12.98,12,41,5,0,0,0,0,"",TRUE,FALSE,FALSE
"120",8703,56,3,52,2,"goe_ans",15.61,15,36,3,4,1,5,3,"",TRUE,FALSE,FALSE
"121",8704,34,3,23,10,"goe_ans",10.29,9,26,4,1,2,3,1,"",TRUE,FALSE,FALSE
"122",8705,47,3,36,9,"goe_ans",7.19,7,15,3,1,0,1,1,"",TRUE,FALSE,FALSE
"123",8706,31,4,16,8,"goe_ans",7.23,6,14,3,0,0,0,0,"",TRUE,FALSE,FALSE
"124",8707,20,4,9,4,"goe_ans",11.45,11.5,23,4,0,0,0,0,"",TRUE,FALSE,FALSE
"125",8708,35,4,22,7,"goe_ans",10.86,10,22,3,1,2,3,1,"",TRUE,FALSE,FALSE
"126",8709,30,4,11,16,"goe_ans",8.77,8.5,16,4,0,0,0,0,"",TRUE,FALSE,FALSE
"127",8710,18,4,12,4,"goe_ans",6.28,6,15,3,0,0,0,1,"",TRUE,FALSE,FALSE
"128",8711,43,3,29,10,"goe_ans",6.53,6,10,3,0,0,0,0,"",TRUE,FALSE,FALSE
"129",8712,35,4,20,12,"goe_ans",7.91,7,17,2,0,0,0,1,"",TRUE,FALSE,FALSE
"130",8713,72,6,38,29,"goe_ans",7.36,6,18,1,2,0,2,2,"",TRUE,FALSE,FALSE
"131",8714,53,3,34,9,"goe_ans",9.11,7,42,5,0,0,0,1,"",TRUE,FALSE,FALSE
"132",8715,54,5,41,9,"goe_ans",11.35,10.5,39,2,5,0,5,2,"",TRUE,FALSE,FALSE
"133",8716,12,2,11,0,"goe_ans",9.08,7,17,4,1,1,2,0,"",TRUE,FALSE,FALSE
"134",8717,19,3,15,3,"goe_ans",13.53,10,67,8,0,0,0,0,"Baumstumpf, nimmt 20% des Plots ein",TRUE,FALSE,FALSE
"135",8718,33,2,23,10,"goe_ans",5.91,5,13,3,0,0,0,0,"",TRUE,FALSE,FALSE
"136",8719,69,5,34,30,"goe_ans",8.32,7,23,3,1,0,1,0,"",TRUE,FALSE,FALSE
"137",8720,85,4,54,27,"goe_ans",7.81,7,30,3,1,1,2,0,"",TRUE,FALSE,FALSE
"138",8721,25,2,17,8,"goe_ans",5.28,5,10,2,0,0,0,0,"",TRUE,FALSE,FALSE
"139",8722,25,2,16,9,"goe_ans",7.48,8,11,4,0,1,1,0,"",TRUE,FALSE,FALSE
"140",8723,59,5,32,22,"goe_ans",11.2,11,20,4,0,0,0,1,"",TRUE,FALSE,FALSE
"141",8724,60,2,40,20,"goe_ans",7.33,6,18,4,0,0,0,2,"",TRUE,FALSE,FALSE
"142",8725,50,4,27,21,"goe_ans",7.74,7,14,5,3,0,3,0,"",TRUE,FALSE,FALSE
"143",8726,59,3,33,23,"goe_ans",7.78,7,37,2,1,1,2,2,"",TRUE,FALSE,FALSE
"144",8727,92,3,57,31,"goe_ans",6.34,6,14,2,0,0,0,0,"",TRUE,FALSE,FALSE
"145",8728,95,3,55,39,"goe_ans",9.24,9,17,4,1,0,1,0,"",TRUE,FALSE,FALSE
"146",8729,111,5,62,45,"goe_ans",8.05,8,19,2,3,1,4,1,"",TRUE,FALSE,FALSE
"147",8730,27,4,19,5,"goe_ans",10.33,9,22,3,0,1,1,0,"",TRUE,FALSE,FALSE
"148",8731,1,1,1,0,"goe_ans",9,9,9,9,0,0,0,0,"",TRUE,FALSE,FALSE
"149",8732,18,3,15,2,"goe_ans",16.06,11,34,7,3,2,5,2,"",TRUE,FALSE,FALSE
"150",8733,58,4,41,13,"goe_ans",15.1,10,114,4,2,1,3,2,"",TRUE,FALSE,FALSE
"151",8734,90,3,75,13,"goe_ans",7.79,8,15,4,0,0,0,0,"",TRUE,FALSE,FALSE
"152",8735,86,3,61,24,"goe_ans",8.43,8,15,3,0,0,0,0,"",TRUE,FALSE,FALSE
"153",8736,99,4,55,41,"goe_ans",7.75,7,20,3,0,0,0,2,"",TRUE,FALSE,FALSE
"154",8737,30,3,19,10,"goe_ans",7.57,7,17,3,0,0,0,0,"keine Blätter",TRUE,FALSE,FALSE
"155",8738,23,3,7,13,"goe_ans",8.43,8,14,4,0,0,0,0,"Verwechselt mit SO?",TRUE,FALSE,FALSE
"156",8739,70,5,22,40,"goe_ans",10.24,9,52,4,0,0,0,1,"",TRUE,FALSE,FALSE
"157",8740,10,4,2,5,"goe_ans",11.1,8,35,6,0,0,0,0,"stark umgeknickt",TRUE,FALSE,FALSE
"158",8741,14,2,13,0,"goe_ans",14.5,8,85,4,0,0,0,3,"",TRUE,FALSE,FALSE
"159",8742,32,4,22,6,"goe_ans",10.22,7,88,3,1,0,1,0,"",TRUE,FALSE,FALSE
"160",8743,101,4,64,35,"goe_ans",7.09,7,17,3,0,0,0,0,"",TRUE,FALSE,FALSE
"161",8744,60,3,43,13,"goe_ans",8.15,8,18,3,1,1,2,0,"",TRUE,FALSE,FALSE
"162",8745,100,4,81,17,"goe_ans",10.62,9.5,27,4,2,2,4,3,"keine Blätter",TRUE,FALSE,FALSE
"163",8746,21,3,12,6,"goe_ans",26.95,21,112,8,1,1,2,3,"keine Blätter",TRUE,FALSE,FALSE
"164",8747,52,4,34,10,"goe_ans",14.5,11.5,48,3,7,3,9,2,"keine Blätter",TRUE,FALSE,FALSE
"165",8748,34,2,33,0,"goe_ans",6.09,6,8,4,0,0,0,1,"keine Blätter",TRUE,FALSE,FALSE
"166",8749,6,1,6,0,"goe_ans",11.17,7.5,23,3,1,0,1,1,"",TRUE,FALSE,FALSE
"167",8750,110,5,87,20,"goe_ans",11.39,10.5,45,5,11,4,14,7,"keine Blätter",TRUE,FALSE,FALSE
"168",8751,123,3,72,47,"goe_ans",12.11,11,76,5,10,5,13,2,"keine Blätter",TRUE,FALSE,FALSE
"169",8752,61,3,40,20,"goe_ans",10.75,10,22,3,2,2,4,0,"",TRUE,FALSE,FALSE
"170",8753,36,3,22,13,"goe_ans",10.72,9,23,5,3,5,8,1,"",TRUE,FALSE,FALSE
"171",8754,53,4,25,26,"goe_ans",8.28,8,16,4,1,0,1,0,"",TRUE,FALSE,FALSE
"172",8755,91,3,32,56,"goe_ans",8.16,8,12,4,1,0,1,0,"",TRUE,FALSE,FALSE
"173",8756,47,3,27,17,"goe_ans",8.79,8,17,4,0,0,0,0,"",TRUE,FALSE,FALSE
"174",8757,68,4,41,25,"goe_ans",12.79,7,400,3,1,0,1,0,"",TRUE,FALSE,FALSE
"175",8758,33,4,21,9,"goe_ans",9.15,8,21,2,3,0,3,0,"",TRUE,FALSE,FALSE
