"","location","Plotnummer","n_trees","ash_ratio","n_ash"
"340","Goe_Polter",8939,12,0.75,9
"341","Goe_Polter",8940,12,0.75,9
"342","Goe_Polter",8960,8,0.75,6
"343","Goe_Polter",8981,8,0.75,6
"344","Goe_Polter",9005,24,0.75,18
"345","Goe_Ansitz",8715,54,0.759259259259259,41
"346","Lau_Steinhorst",69,46,0.760869565217391,35
"347","Goe_Ansitz",8778,38,0.763157894736842,29
"348","Goe_Ansitz",8705,47,0.765957446808511,36
"349","Lau_Steinhorst",19,13,0.769230769230769,10
"350","Lau_Steinhorst",189,13,0.769230769230769,10
"351","Lau_Steinhorst",223,26,0.769230769230769,20
"352","Lau_Steinhorst",249,26,0.769230769230769,20
"353","Goe_Polter",8930,26,0.769230769230769,20
"354","Goe_Polter",8949,13,0.769230769230769,10
"355","Goe_Polter",8998,26,0.769230769230769,20
"356","Goe_Ansitz",8781,31,0.774193548387097,24
"357","Lau_Steinhorst",48,9,0.777777777777778,7
"358","Lau_Steinhorst",201,27,0.777777777777778,21
"359","Goe_Polter",8906,9,0.777777777777778,7
"360","Lau_Steinhorst",83,23,0.782608695652174,18
"361","Goe_Polter",9016,14,0.785714285714286,11
"362","Lau_Steinhorst",200,75,0.786666666666667,59
"363","Goe_Ansitz",8717,19,0.789473684210526,15
"364","Goe_Polter",8947,19,0.789473684210526,15
"365","Goe_Ansitz",8750,110,0.790909090909091,87
"366","Goe_Ansitz",8798,24,0.791666666666667,19
"367","Goe_Polter",9008,53,0.792452830188679,42
"368","Goe_Polter",9011,29,0.793103448275862,23
"369","Goe_Ansitz",8794,44,0.795454545454545,35
"370","Lau_Steinhorst",18,5,0.8,4
"371","Lau_Steinhorst",221,15,0.8,12
"372","Lau_Steinhorst",262,10,0.8,8
"373","Goe_Ansitz",8792,10,0.8,8
"374","Goe_Ansitz",8813,40,0.8,32
"375","Goe_Polter",8904,15,0.8,12
"376","Goe_Polter",8950,15,0.8,12
"377","Goe_Polter",8966,5,0.8,4
"378","Goe_Polter",8971,10,0.8,8
"379","Goe_Polter",9012,5,0.8,4
"380","Goe_Ansitz",8765,26,0.807692307692308,21
"381","Goe_Ansitz",8806,21,0.80952380952381,17
"382","Goe_Ansitz",8745,100,0.81,81
"383","Goe_Polter",8995,37,0.810810810810811,30
"384","Lau_Steinhorst",186,16,0.8125,13
"385","Goe_Ansitz",8808,16,0.8125,13
"386","Goe_Ansitz",8814,16,0.8125,13
"387","Goe_Polter",8936,16,0.8125,13
"388","Goe_Polter",8941,16,0.8125,13
"389","Goe_Polter",8964,27,0.814814814814815,22
"390","Lau_Steinhorst",60,22,0.818181818181818,18
"391","Lau_Steinhorst",265,11,0.818181818181818,9
"392","Goe_Polter",8937,11,0.818181818181818,9
"393","Goe_Polter",8986,11,0.818181818181818,9
"394","Goe_Ansitz",8810,89,0.820224719101124,73
"395","Lau_Steinhorst",226,112,0.821428571428571,92
"396","Goe_Polter",9004,52,0.826923076923077,43
"397","Goe_Polter",8976,35,0.828571428571429,29
"398","Lau_Steinhorst",248,47,0.829787234042553,39
"399","Lau_Steinhorst",166,12,0.833333333333333,10
"400","Goe_Ansitz",8732,18,0.833333333333333,15
"401","Goe_Ansitz",8734,90,0.833333333333333,75
"402","Goe_Ansitz",8803,30,0.833333333333333,25
"403","Goe_Polter",8946,18,0.833333333333333,15
"404","Goe_Polter",8948,12,0.833333333333333,10
"405","Goe_Polter",8985,6,0.833333333333333,5
"406","Goe_Polter",9002,30,0.833333333333333,25
"407","Goe_Polter",8956,31,0.838709677419355,26
"408","Goe_Polter",8974,31,0.838709677419355,26
"409","Goe_Ansitz",8793,25,0.84,21
"410","Lau_Steinhorst",282,19,0.842105263157895,16
"411","Lau_Steinhorst",255,13,0.846153846153846,11
"412","Lau_Steinhorst",260,13,0.846153846153846,11
"413","Lau_Steinhorst",279,13,0.846153846153846,11
"414","Goe_Polter",8929,13,0.846153846153846,11
"415","Lau_Steinhorst",250,55,0.854545454545454,47
"416","Goe_Polter",8903,7,0.857142857142857,6
"417","Goe_Polter",8919,21,0.857142857142857,18
"418","Goe_Polter",8922,14,0.857142857142857,12
"419","Goe_Polter",8961,7,0.857142857142857,6
"420","Goe_Polter",8997,35,0.857142857142857,30
"421","Goe_Ansitz",8784,64,0.859375,55
"422","Goe_Polter",9006,29,0.862068965517241,25
"423","Goe_Polter",8932,15,0.866666666666667,13
"424","Goe_Polter",8992,30,0.866666666666667,26
"425","Lau_Steinhorst",224,38,0.868421052631579,33
"426","Lau_Steinhorst",199,47,0.872340425531915,41
"427","Goe_Ansitz",8761,16,0.875,14
"428","Goe_Polter",8957,8,0.875,7
"429","Goe_Polter",8983,16,0.875,14
"430","Lau_Steinhorst",251,34,0.882352941176471,30
"431","Goe_Polter",8914,17,0.882352941176471,15
"432","Goe_Polter",8920,17,0.882352941176471,15
"433","Goe_Polter",8990,34,0.882352941176471,30
"434","Lau_Steinhorst",278,43,0.883720930232558,38
"435","Lau_Steinhorst",285,26,0.884615384615385,23
"436","Goe_Polter",8994,26,0.884615384615385,23
"437","Goe_Ansitz",8759,35,0.885714285714286,31
"438","Lau_Steinhorst",296,27,0.888888888888889,24
"439","Goe_Polter",8907,9,0.888888888888889,8
"440","Goe_Ansitz",8811,28,0.892857142857143,25
"441","Goe_Polter",8962,19,0.894736842105263,17
"442","Goe_Polter",8973,19,0.894736842105263,17
"443","Lau_Steinhorst",222,49,0.897959183673469,44
"444","Lau_Steinhorst",261,10,0.9,9
"445","Goe_Polter",8925,10,0.9,9
"446","Goe_Polter",8931,10,0.9,9
"447","Goe_Polter",8952,20,0.9,18
"448","Goe_Polter",8987,10,0.9,9
