Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
,,,,rbu,198,143,119,,,,,,,,,FALSE,FALSE
90,no,,,bah,119,102,87,,,,,,,,,FALSE,FALSE
,so,,,esch,522,512,494,10,2,1,,,1,,,FALSE,FALSE
,sw,,,bah,2335,2280,2113,,,,,,,,,FALSE,FALSE
,so,,,bah,125,112,91,,,,,,,,,FALSE,FALSE
,,,so,esch,384,361,334,6,,,,,,5,,FALSE,FALSE
,sw,,,rbu,746,736,623,,,,,,,,,FALSE,FALSE
,,,,esch,228,206,186,4,,,,,,4,frisch abgestorben,FALSE,FALSE
,nw,,,bah,3590,3216,2685,,,,,,,,,FALSE,FALSE
,sw,,,rbu,3202,2579,2114,,,,,,,,,FALSE,FALSE
94,,,,,,,,,,,,,,,rand,TRUE,FALSE
93,,,,,,,,,,,,,,,rand,TRUE,FALSE
92,,,,,,,,,,,,,,,rand,TRUE,FALSE
89,no,,,bah,108,100,94,,,,,,,,,FALSE,FALSE
,sw,,,bah,111,98,90,,,,,,,,,FALSE,FALSE
,,,,bah,1405,1260,1130,,,,,,,,,FALSE,FALSE
,,,,rbu,4280,4130,3705,,,,,,,,,FALSE,FALSE
88,,,,,,,,,,,,,,,rand,TRUE,FALSE
87,,,,,,,,,,,,,,,rand,TRUE,FALSE
86,,,,,,,,,,,,,,,rand,TRUE,FALSE
85,,,,,,,,,,,,,,,rand,TRUE,FALSE
84,no,,,rbu,920,774,768,,,,,,,,,FALSE,FALSE
,,,,esch,169,156,130,1,,,,,,,,FALSE,FALSE
,,,,esch,54,50,40,1,,,,,,,,FALSE,FALSE
,,,no,esch,89,45,,1,,,1,,,,lehrbuchbeispiel,FALSE,FALSE
,nw,,,esch,85,65,,1,,,,,,,,FALSE,FALSE
,,,,esch,67,52,43,1,,,,,,,,FALSE,FALSE
,,,,esch,75,,,1,,,,,,,,FALSE,FALSE
,,,,esch,112,96,80,1,,,,,,,,FALSE,FALSE
,,,,rbu,120,74,,,,,,,,,,FALSE,FALSE
,,,,bah,79,66,39,,,,,,,,,FALSE,FALSE
,,,,hbu,56,,,,,,,,,,,FALSE,FALSE
,,,,rbu,80,,,,,,,,,,,FALSE,FALSE
,,,nw,esch,101,88,82,,,,,,,,,FALSE,FALSE
,sw,,,hbu,65,,,,,,,,,,,FALSE,FALSE
,,,,hbu,43,,,,,,,,,,,FALSE,FALSE
,,,,hbu,39,,,,,,,,,,,FALSE,FALSE
,,,,esch,123,105,93,3,,,,,,2,,FALSE,FALSE
,,,sw,esch,64,45,,1,,,,,,,,FALSE,FALSE
,,,,hbu,426,323,316,,,,,,,,,FALSE,FALSE
,,,,hbu,708,334,318,,,,,,,,,FALSE,FALSE
,so,,so,esch,144,123,99,1,,,,,,,,FALSE,FALSE
,,,,esch,168,154,113,2,,,,,,1,,FALSE,FALSE
83,,,nw,esch,366,305,235,2,1,,,,,,potenziell von einer nekrose betroffen: t1,FALSE,FALSE
,no,,,bah,118,96,,,,,,,,,,FALSE,FALSE
,,,,bah,149,108,86,,,,,,,,,FALSE,FALSE
,,,no,esch,307,254,192,1,,,,,,,,FALSE,FALSE
,sw,,,esch,296,179,106,1,,,,,,,,FALSE,FALSE
,,,,bah,219,115,90,,,,,,,,,FALSE,FALSE
,,,sw,esch,98,81,65,1,,,,,,,,FALSE,FALSE
,so,,,bah,176,122,87,,,,,,,,,FALSE,FALSE
,,,,esch,112,60,29,2,,,,,,,,FALSE,FALSE
,,,,bah,186,106,90,,,,,,,,,FALSE,FALSE
,,,,esch,104,76,40,1,,,,,,,,FALSE,FALSE
,,,,esch,409,316,65,8,1,,,,1,,stark umgeknickt,FALSE,FALSE
82,so,,,holunder,705,527,527,,,,,,,,,FALSE,FALSE
,,,,holunder,1030,965,925,,,,,,,,,FALSE,FALSE
,,,,holunder,695,640,595,,,,,,,,,FALSE,FALSE
,sw,,,holunder,1498,1443,917,,,,,,,,,FALSE,FALSE
,,,,holunder,584,561,552,,,,,,,,,FALSE,FALSE
,,,,holunder,569,557,534,,,,,,,,,FALSE,FALSE
,nw,,,esch,183,149,104,1,,,,,,,,FALSE,FALSE
,,,,esch,135,85,81,7,,t5,,,,,,FALSE,FALSE
,,,,esch,298,279,248,8,,,,,,5,,FALSE,FALSE
,,,nw,esch,94,85,74,1,,,,,,,,FALSE,FALSE
,,,,rbu,112,,,,,,,,,,,FALSE,FALSE
81,no,,,wli,663,645,620,,,,,,,,austrieb aus liegendem stamm,FALSE,FALSE
,,,no,esch,85,78,66,1,,,,,,,,FALSE,FALSE
,,,,bah,75,,,,,,,,,,,FALSE,FALSE
,,,,esch,90,78,,3,t1,,,,1,,,FALSE,FALSE
,so,,,rbu,423,397,375,,,,,,,,,FALSE,FALSE
,,,so,esch,62,51,,1,,,,,,,,FALSE,FALSE
,,,,bah,94,79,60,,,,,,,,,FALSE,FALSE
80,so,,,bah,4485,4370,3930,,,,,,,,,FALSE,FALSE
,,,,bah,620,615,608,,,,,,,,,FALSE,FALSE
,,,,bah,155,136,114,,,,,,,,,FALSE,FALSE
,,,,bah,103,,,,,,,,,,,FALSE,FALSE
,sw,,,esch,112,109,70,2,,,,,,,,FALSE,FALSE
,,,,bah,249,218,195,,,,,,,,,FALSE,FALSE
,,,,bah,96,85,74,,,,,,,,,FALSE,FALSE
,,,,bah,69,46,,,,,,,,,,FALSE,FALSE
,,,sw,esch,57,51,42,1,,,,,,,,FALSE,FALSE
,,,,bah,128,112,103,,,,,,,,,FALSE,FALSE
,no,,,bah,115,,,,,,,,,,,FALSE,FALSE
,,,,bah,114,85,65,,,,,,,,,FALSE,FALSE
,,,no,esch,156,120,114,9,,t5,,,,,,FALSE,FALSE
,nw,,,bah,86,65,,,,,,,,,,FALSE,FALSE
,,,,bah,161,141,126,,,,,,,,,FALSE,FALSE
,,,,bah,294,287,280,,,,,,,,,FALSE,FALSE
,,,,bah,86,84,83,,,,,,,,,FALSE,FALSE
,,,,bah,106,92,86,,,,,,,,,FALSE,FALSE
,,,,bah,346,338,291,,,,,,,,,FALSE,FALSE
79,sw,1,,bah,125,72,,,,,,,,,,FALSE,FALSE
,,,,bah,110,88,56,,,,,,,,,FALSE,FALSE
,,,,bah,96,72,37,,,,,,,,,FALSE,FALSE
,,,,bah,92,70,51,,,,,,,,,FALSE,FALSE
,,,,bah,107,,,,,,,,,,,FALSE,FALSE
,nw,,,salix spec,87,,,,,,,,,,,FALSE,FALSE
,,,,stieleiche,128,79,,,,,,,,,,FALSE,FALSE
,so,,,bah,139,111,,,,,,,,,,FALSE,FALSE
,,,,bah,96,86,,,,,,,,,,FALSE,FALSE
,,,,bah,124,112,85,,,,,,,,,FALSE,FALSE
,no,,,bah,104,65,,,,,,,,,,FALSE,FALSE
,so,,,bah,140,116,72,,,,,,,,,FALSE,FALSE
,no,,,bah,325,224,213,,,,,,,,,FALSE,FALSE
,,,,bah,84,59,,,,,,,,,,FALSE,FALSE
,,,,bah,133,102,78,,,,,,,,,FALSE,FALSE
,,,,bah,80,51,,,,,,,,,,FALSE,FALSE
78,no,,,rbu,222,177,147,,,,,,,,,FALSE,FALSE
,,,,pfaffenhutchen,249,98,44,,,,,,,,,FALSE,FALSE
,,,,pfaffenhutchen,291,215,167,,,,,,,,,FALSE,FALSE
,,,,bah,167,151,124,,,,,,,,,FALSE,FALSE
,,,,hbu,166,157,143,,,,,,,,,FALSE,FALSE
,,,,rbu,172,146,130,,,,,,,,,FALSE,FALSE
,,,,rbu,280,265,157,,,,,,,,,FALSE,FALSE
,,,,bah,138,106,57,,,,,,,,,FALSE,FALSE
,,,,bah,124,80,61,,,,,,,,,FALSE,FALSE
,,,,esch,167,143,130,3,t2,,,,1,,,FALSE,FALSE
