Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
,Süden,,,SAh,285,279,273,,,,,,,,,FALSE,FALSE
,,,,SAh,235,223,194,,,,,,,,,FALSE,FALSE
27,Norden,,,HBu,966,608,544,,,,,,,,,FALSE,FALSE
,,,,SAh,92,80,66,,,,,,,,,FALSE,FALSE
,,,,SAh,107,97,79,,,,,,,,,FALSE,FALSE
,,,,SAh,128,83,56,,,,,,,,,FALSE,FALSE
,,,,SAh,160,130,102,,,,,,,,,FALSE,FALSE
,,,,SAh,270,252,210,,,,,,,,,FALSE,FALSE
,,,,HBu,140,117,109,,,,,,,,,FALSE,FALSE
,,,,SAh,137,102,78,,,,,,,,,FALSE,FALSE
,,,Nord,Esche,130,121,114,1,,,,,,,,FALSE,FALSE
,,,,SAh,145,99,81,,,,,,,,,FALSE,FALSE
,,,,HBu,711,503,440,,,,,,,,,FALSE,FALSE
,Osten,,,hbu,1327,705,724,,,,,,,,,FALSE,FALSE
,,,,SAh,126,111,101,,,,,,,,,FALSE,FALSE
,,,,SAh,174,156,137,,,,,,,,,FALSE,FALSE
,,,,SAh,106,91,78,,,,,,,,,FALSE,FALSE
,,,,BAh,80,75,64,,,,,,,,,FALSE,FALSE
,Süd,,,SAh,356,261,235,,,,,,,,,FALSE,FALSE
,,,,HBu,981,559,487,,,,,,,,,FALSE,FALSE
,,,,SAh,96,81,70,,,,,,,,,FALSE,FALSE
,,,,SAh,115,87,64,,,,,,,,,FALSE,FALSE
,,,,SAh,180,121,82,,,,,,,,,FALSE,FALSE
,,,,HBu,378,350,350,,,,,,,,hat liegende auslufer die im Westen anwurzeln und mit aufgenommen wurden,FALSE,FALSE
,West,,,SAh,107,93,66,,,,,,,,,FALSE,FALSE
,,,,SAh,139,118,96,,,,,,,,,FALSE,FALSE
,,,,HBu,208,200,174,,,,,,,,bewurzelter Trieb aus West,FALSE,FALSE
,,,,HBu,156,138,98,,,,,,,,,FALSE,FALSE
,,,,SAh,192,134,100,,,,,,,,,FALSE,FALSE
,,,,SAh,174,128,87,,,,,,,,,FALSE,FALSE
,,,,SAh,517,467,454,,,,,,,,,FALSE,FALSE
,,,,SAh,152,132,111,,,,,,,,,FALSE,FALSE
,,,,SAh,436,368,296,,,,,,,,,FALSE,FALSE
,,,,SAh,237,200,139,,,,,,,,,FALSE,FALSE
,,,,SAh,123,102,79,,,,,,,,,FALSE,FALSE
,,,,SAh,145,135,107,,,,,,,,,FALSE,FALSE
,,,,HBu,339,318,294,,,,,,,,Bewurzelter Trieb aus west,FALSE,FALSE
,,,,SAh,233,197,137,,,,,,,,,FALSE,FALSE
34,Süden,,,Quercus spec,125,108,,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,130,124,119,,,,,,,,"plot auf Grundwasserniveau, viel oberflächiges Wasser",FALSE,FALSE
,,,,HBu,185,132,94,,,,,,,,,FALSE,FALSE
,,,Süd,Esche,57,30,,2,,,,,,1,,FALSE,FALSE
46,Norden,,,SAh,204,173,102,,,,,,,,,FALSE,FALSE
,,,,BAh,130,125,100,,,,,,,,,FALSE,FALSE
,,,,BAh,50,30,,,,,,,,,,FALSE,FALSE
,,,,BAh,55,50,30,,,,,,,,,FALSE,FALSE
,Osten,,,SAh,115,66,,,,,,,,,,FALSE,FALSE
,Süden,,,FAh,981,654,625,,,,,,,,,FALSE,FALSE
,,,,HBu,319,210,192,,,,,,,,,FALSE,FALSE
,,,Süd,Esche,948,490,460,51,T2,9,1,,3,8,,FALSE,FALSE
,,,,SAh,340,300,250,,,,,,,,,FALSE,FALSE
