"","aufid","id","baumid","edvid","auf.x","nr","nralt","art","anzahl","repfl","alt","r","zf","ou","schicht","sonder","vdfv","kraft","dkrz1","dkrz2","ddauer","dmess","mh","d","a","e","h","hkschicht","hmod","hmodm","k","status","hbr","g0","g5","g10","g15","g20","g25","g30","g35","hmaxkb","hastfrei","sfg","sfe","bi","bemerk.baum","datum","Stempel","baumid.stammv","edvid.stammv","nr.stammv","art.stammv","auf.stammv","x","y","z","bemerk","datum.stammv","Stempel.stammv","auf.y","saison","monat","jahr","flha","flha_alt","qualitat","typ","umfang","dop","bstand","messh","repfac","dfmonat","dfjahr","bemerk.auf","pz","schluss","schichtung","schaft","krone","astig","bluemast","schaeden","vegetation"
"195","316313021","316313021123211",4634726,31631302,1,"123",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,292,0,0,292,13,292,"",NA,0,1,26.71,26.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634726,31631302,"123",211,1,59.155,-50.115,0.27,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"196","316313021","316313021124211",4634727,31631302,1,"124",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,239,0,0,239,13,239,"",NA,226,1,24.47,24.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634727,31631302,"124",211,1,59.805,-47.165,0.36,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"197","316313021","316313021125211",4634728,31631302,1,"125",NA,211,1,1,131,"",NA,"O",-1,NA,2,20,547,0,0,547,13,547,"",NA,288,1,32.13,32.13,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634728,31631302,"125",211,1,60.955,-48.085,0.35,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"198","316313021","316313021126211",4634729,31631302,1,"126",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,294,0,0,294,13,294,"",NA,0,1,26.78,26.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634729,31631302,"126",211,1,64.415,-49.705,0.44,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"199","316313021","316313021127311",4634730,31631302,1,"127",NA,311,1,1,131,"",NA,"O",-1,NA,1,10,796,0,0,796,13,796,"",NA,0,1,34.75,34.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634730,31631302,"127",311,1,62.575,-63.735,-0.1,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"200","316313021","316313021128323",4634731,31631302,1,"128",NA,323,1,1,131,"",NA,"U",-1,NA,5,50,253,0,0,253,13,253,"",NA,0,1,20.98,20.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","zopftr.!",2023-04-11,2023-04-11 11:12:29,4634731,31631302,"128",323,1,50.475,-61.705,-0.42,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"201","316313021","316313021129311",4634732,31631302,1,"129",NA,311,1,1,131,"",NA,"O",-1,NA,1,10,627,0,0,627,13,627,"",NA,337,1,33.52,33.52,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634732,31631302,"129",311,1,47.375,-61.755,-0.41,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"202","316313021","316313021130211",4634733,31631302,1,"130",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,198,0,0,198,13,198,"",NA,0,1,22.26,22.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634733,31631302,"130",211,1,45.755,-60.515,-0.51,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"203","316313021","316313021131211",4634734,31631302,1,"131",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,199,0,0,199,13,199,"",NA,0,1,22.32,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634734,31631302,"131",211,1,20.185,-58.975,-0.71,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"204","316313021","316313021132112",4634735,31631302,1,"132",NA,112,1,1,131,"",NA,"O",-1,NA,2,20,555,0,0,555,13,555,"",NA,333,1,32.8,32.8,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634735,31631302,"132",112,1,16.695,-54.805,-0.49,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
