"OBJECTID,N,10,0","Species,C,80","Height,N,19,11","Spread,N,19,11","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,19,11","MV_NR,C,10","zdztfzzt_T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,19,11","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,19,11","y,N,19,11","BA_Gruppe,C,10","RASTERVALU,N,13,11","BHD,N,19,11","Bemerkunge,C,50"
27,Oak,27,0,,F,,0,27,Gem. Esche,,F,,,214.6,,,,,33400000,5992075.89,Es,52.2577,69,
28,Cherry,28,0,,F,,0,28,Rotbuche,,F,,,0,,,,,33400000,5992073.7,Bu,52.384,31,
29,Cherry,29,0,,F,,0,29,Rotbuche,,F,,,0,,,,,33400000,5992070.852,Bu,53.3051,16.5,
30,Apple,30,0,,F,,0,30,Bergahorn,,F,,,0,,,,,33400000,5992067.256,Ah,50.9649,54,
31,Cherry,31,0,,F,,0,31,Rotbuche,,F,,,0,,,,,33400000,5992070.44,Bu,54.2845,38,
32,Oak,32,0,,F,,0,32,Gem. Esche,,F,,,240,,,,,33400000,5992066.332,Es,55.1987,77.1,
33,Cherry,33,0,,F,,0,33,Rotbuche,,F,,,0,,,,,33400000,5992058.627,Bu,51.6727,78.5,
34,Cherry,34,0,,F,,0,34,Rotbuche,,F,,,0,,,,,33400000,5992061.346,Bu,50.4192,32.5,
35,Cherry,35,0,,F,,0,35,Rotbuche,,F,,,0,,,,,33400000,5992065.193,Bu,50.2784,23.5,
36,Cherry,36,0,,F,,0,36,Rotbuche,,F,,,0,,,,,33400000,5992064.065,Bu,49.2567,39.5,
37,Oak,37,0,,F,,0,37,Gem. Esche,,F,,,143.8,,,,,33400000,5992065.157,Es,47.973,46.5,
38,Oak,38,0,,F,,0,38,Gem. Esche,,F,,,185.3,,,,,33400000,5992060.155,Es,49.0949,59.5,
39,Cherry,39,0,,F,,0,39,Rotbuche,,F,,,0,,,,,33400000,5992059.543,Bu,48.4121,14,
