"Species,C,80","Height,N,31,3","Spread,N,31,3","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,31,3","MV-NR,C,10","zdztfzzt T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,24,15","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,11,3","y,N,11,3"
Oak,169,0,,F,,0,169,Gem. Esche,,F,,,163.7,,,,,33398611.82,5992128.496
Oak,170,0,,F,,0,170,Gem. Esche,,F,,,165,,,,,33398622.24,5992131.283
Oak,171,0,,F,,0,171,Gem. Esche,,F,,,81.5,,,,,33398625.77,5992113.239
Birch,172,0,,F,,0,172,EIche,,F,,,0,,,,,33398631.66,5992102.805
Birch,173,0,,F,,0,173,EIche,,F,,,0,,,,,33398631.07,5992098.634
Apple,174,0,,F,,0,174,Bergahorn,,F,,,0,,,,,33398633.37,5992097.896
Cherry,175,0,,F,,0,175,Rotbuche,,F,,,0,,,,,33398632.86,5992096.318
Oak,176,9,,F,,0,176,Gem. Esche,9,F,,,201.1,,,,,33398643.44,5992106.813
Oak,177,0,,F,,0,177,Gem. Esche,,F,,,153.9,,,,,33398642.9,5992113.562
Pine,178,0,,F,,0,178,Spitzahorn,,F,,,0,,,,,33398647.08,5992113.714
Oak,179,0,,F,,0,179,Gem. Esche,,F,,,252.3,,,,,33398641.8,5992120.805
Oak,180,0,,F,,23,180,Gem. Esche,,F,23,,174.1,,,,,33398650.52,5992125.884
,0,0,,F,,0,,,,,,,0,,,,,33398541.27,5992099.654
Oak,182,0,,F,,0,182,Gem. Esche,,F,,,144,,,,,33398657.8,5992107.314
Oak,181,5,,F,,0,181,Gem. Esche,5,F,,,235,,,,,33398659.52,5992113.409
Oak,183,0,,F,,0,183,Gem. Esche,,F,,,180.9,,,,,33398666.3,5992119.804
Oak,184,0,,F,,5,184,Gem. Esche,,F,5,,223.5,,,,,33398671.82,5992134.094
Oak,185,0,,F,,0,185,Gem. Esche,,F,,,177.5,,,,,33398678.57,5992141.866
Cherry,186,0,,F,,0,186,Rotbuche,,F,,,0,,,,,33398680.26,5992150.765
Oak,187,0,,F,,0,187,Gem. Esche,,F,,,182,,,,,33398676.14,5992155.599
Oak,188,0,,F,,0,188,Gem. Esche,,F,,,213.8,,,,,33398682.86,5992154.527
Oak,189,0,,F,,0,189,Gem. Esche,,F,,,247.4,,,,,33398679.77,5992159.573
Oak,190,7,,F,,102.4,190,Gem. Esche,7,F,,,223.9,,,,,33398663.64,5992139.294
Oak,191,0,,F,,0,191,Gem. Esche,,F,10.2.4,,236.2,,,,,33398646.73,5992134.998
Apple,192,0,,F,,0,192,Bergahorn,,F,,,0,,,,,33398641.86,5992141.509
Oak,193,0,,F,,0,193,Gem. Esche,,F,,,0,,,,,33398637.34,5992136.813
Oak,194,0,,F,,102.9,194,Gem. Esche,,F,10.2.9,,193.8,,,,,33398631.35,5992143.909
Oak,195,0,,F,,8,195,Gem. Esche,,F,8,,214.7,,,,,33398624.59,5992145.963
Oak,196,0,,F,,0,196,Gem. Esche,,F,,,91.5,,,,,33398619.53,5992153.348
Oak,197,0,,F,,102.31,197,Gem. Esche,,F,10.2.31,,254.3,,,,,33398628.02,5992157.958
Oak,198,0,,F,,0,198,Gem. Esche,,F,,,194.5,,,,,33398631.69,5992165.669
Oak,199,0,,F,,0,199,Gem. Esche,,F,,,169.5,,,,,33398635.39,5992170.699
Oak,200,0,,F,,0,200,Gem. Esche,,F,,,206.1,,,,,33398639.28,5992165.639
Oak,201,0,,F,,0,201,Gem. Esche,,F,,,70.6,,,,,33398640.74,5992158.613
Oak,202,0,,F,,3,202,Gem. Esche,,F,3,,245,,,,,33398641.64,5992152.48
Apple,203,0,,F,,0,203,Bergahorn,,F,,,0,,,,,33398649.94,5992151.491
Apple,204,0,,F,,0,204,Bergahorn,,F,,,0,,,,,33398654.81,5992156.236
Oak,205,0,,F,,0,205,Gem. Esche,,F,,,222,,,,,33398651.2,5992159.756
Oak,206,0,,F,,0,206,Gem. Esche,,F,,,216.6,,,,,33398647.76,5992163.895
Oak,207,0,,F,,0,207,Gem. Esche,,F,,,198.8,,,,,33398644.66,5992169.459
Apple,208,0,,F,,0,208,Bergahorn,,F,,,0,,,,,33398660.87,5992161.348
Oak,209,0,,F,,0,209,Gem. Esche,,F,,,256.5,,,,,33398659.52,5992168.124
Apple,210,0,,F,,0,210,Bergahorn,,F,,,0,,,,,33398663.39,5992167.956
Apple,211,0,,F,,0,211,Bergahorn,,F,,,0,,,,,33398666.73,5992171.292
Oak,212,0,,F,,0,212,Gem. Esche,,F,,,248,,,,,33398666.13,5992175.23
Oak,214,0,,F,,0,214,Gem. Esche,,F,,,83.2,,,,,33398661.63,5992175.197
Oak,213,0,,F,,0,213,Gem. Esche,,F,,,199.9,,,,,33398661.05,5992178.857
Oak,215,0,,F,,0,215,Gem. Esche,,F,,,81,,,,,33398654.85,5992171.873
Oak,216,0,,F,,0,216,Gem. Esche,,F,,,158.2,,,,,33398653.58,5992175.844
Oak,217,0,,F,,0,217,Gem. Esche,,F,,,223.2,,,,,33398647.49,5992189.9
Oak,218,0,,F,,0,218,Gem. Esche,,F,,,94.7,,,,,33398646.78,5992196.054
Oak,219,0,,F,,0,219,Gem. Esche,,F,,,257.2,,,,,33398639.47,5992199.959
Oak,220,0,,F,,0,220,Gem. Esche,,F,,,229.7,,,,,33398634.17,5992186.678
,0,0,,F,,0,,,,,,,0,,,,,33398638.31,5992181.251
Oak,221,0,,F,,0,221,Gem. Esche,,F,,,176.4,,,,,33398642.6,5992178.698
Oak,222,0,,F,,0,222,Gem. Esche,,F,,,70.3,,,,,33398633.81,5992177.652
Oak,223,0,,F,,0,223,Gem. Esche,,F,,,205,,,,,33398625.97,5992187.304
Oak,224,0,,F,,0,224,Gem. Esche,,F,,,47,,,,,33398622.3,5992175.008
Oak,225,0,,F,,0,225,Gem. Esche,,F,,,154.8,,,,,33398610.11,5992171.314
Oak,226,0,,F,,0,226,Gem. Esche,,F,,,221.5,,,,,33398611.2,5992163.677
Oak,227,0,,F,,0,227,Gem. Esche,,F,,,185.8,,,,,33398605.56,5992174.163
,0,12,,F,,0,Kaetzel-12,Gem. Esche,12,F,,,180.7,,,,,33398513.58,5992162.633
,0,13,,F,,0,Kaetzel-13,Gem. Esche,13,F,,,0,,,,liegt,33398517.84,5992180.631
,0,14,,F,,0,Kaetzel-14,Gem. Esche,14,F,,,183.5,,,,,33398523.15,5992210.236
,0,15,,F,,0,Kaetzel-15,Gem. Esche,15,F,,,241.7,,,,,33398562.55,5992221.164
,0,1,,F,,0,Kaetzel-1,Gem. Esche,1,F,,,220,,,,,33398697.86,5992089.214
,0,3,,F,,0,Kaetzel-3,Gem. Esche,3,F,,,192.2,,,,,33398712.54,5992103.41
,0,2,,F,,0,Kaetzel-2,Gem. Esche,2,F,,,153.3,,,,,33398699.29,5992097.964
