Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,bah,82,77,65,130,122,109,,,,,,,,,
,,,esch,71,62,49,,,,1,,,,,,,,
21,no,,sah,149,146,141,164,160,156,,,,,,,,,
,,,rbu,226,220,214,234,216,195,,,,,,,,,
,,,bah,127,124,119,,,,,,,,,,,,
,so,,bah,130,125,121,,,,,,,,,,,,
,,,bah,89,86,82,99,95,92,,,,,,,,,
,,,esch,61,58,55,69,66,62,1,,,,,,,,
,,,bah,118,114,105,,,,,,,,,,,,
,,,rbu,273,250,209,295,267,205,,,,,,,,,
,sw,,esch,66,65,63,,,,1,,,,,,,,
,,,sah,64,62,54,80,78,69,,,,,,,,,
,,,esch,70,68,64,,,,1,,,,,,,,
,,,esch,98,92,85,,,,1,,,,,,,,
,,,bah,92,89,83,106,102,97,,,,,,,,,
,,,esch,104,99,94,,,,1,,,,,,,,
,,,bah,79,75,55,,,,,,,,,,,,
,,,esch,70,66,60,124,120,113,1,,,,,,,,
,nw,,WLi,288,285,276,367,355,340,,,,,,,,,
,,,sah,99,91,78,,,,,,,,,,,,
,,,bah,90,88,82,,,,,,,,,,,,
8,,, ,,,,,,,,,,,,,,Plot liegt schräg in Senke ,
,nw,,bah,448,443,420,,,,,,,,,,,,
,no,, ,,,,,,,,,,,,,,,
,so,, ,,,,,,,,,,,,,,,
,sw,, ,,,,,,,,,,,,,,,
9,no,,bah,91,88,38,,,,,,,,,,,,
,,,bah,102,96,92,,,,,,,,,,,,
,,,esch,66,,,71,,,1,,,,,,,,
,,,esch,55,48,,,,,1,,,,,,,,
,,,esch,65,59,,,,,1,,,,,,,,
,,,esch,63,59,,,,,1,,,,,,,,
,,,esch,69,52,,,,,1,,,,,,,,
,,,esch,81,75,70,,,,3,,1,,,,,,
,,,hbu,24,,,40,,,,,,,,,,,
,,,esch,76,63,,92,73,,1,,,,,,,,
,,,esch,101,94,87,,,,1,,,,,,,,
,,,esch,69,65,46,110,102,82,1,,,,,,,,
,so,,esch,35,,,,,,1,,,,,,,,
,,,esch,80,74,,,,,1,,,,T1,,,,
,,,esch,83,75,,,,,1,,,,,,,,
,,,esch,79,73,,,,,1,,,,T1,,,,
,,,esch,86,82,77,,,,1,,,,,,,,
,,,esch,54,,,,,,1,,,,,,,,
,nw,,esch,78,76,67,130,127,118,2,T1,,,,,,tote Höhe 79,
,,,esch,79,77,,,,,2,,,,,,,,
,,,esch,54,49,62,57,,,1,,,,,,,,
,,,esch,70,64,,,,,1,,,,,,,,
,,,esch,85,75,,,,,1,,,,,,,,
,,,esch,102,98,94,106,101,97,1,,,,,,,,
,,,esch,55,47,,,,,1,,,,,,,,
,,,esch,72,64,,82,78,,1,,,,,,,,
,,,bah,95,91,85,99,95,89,,,,,,,,,
,,,esch,58,54,,65,59,,1,,,,,,,,
,,,esch,66,58,,,,,1,,,,,,,,
,sw,,esch,77,72,66,,,,1,,,,,,,,
,,,esch,55,45,,78,66,,1,,,,,,,,
,,,bah,138,130,112,142,134,119,,,,,,,,,
,,,sah,75,71,65,87,83,77,,,,,,,,,
,,,esch,58,52,48,100,90,86,1,,,,,,,,
,,,esch,81,70,,84,72,,1,,,,,,,,
,,,esch,70,65,,,,,1,,,,,,,,
,,,esch,95,90,82,,,,1,,,,,,,,
,,,esch,52,49,,60,57,,1,,,,,,,,
,,,esch,73,70,63,79,75,68,1,,,,,,,,
,,,esch,74,70,67,105,101,98,1,,,,,,,,
,,,esch,86,84,82,,,,1,,,,,,,,
52,nw,,bah,106,100,91,,,,,,,,,,,,
,,,esch,44,42,38,53,51,47,1,,,,,,,,
,,,bah,74,63,61,122,117,110,,,,,,,,,
,,,bah,116,111,105,120,116,109,,,,,,,,,
,,,bah,88,86,83,99,97,93,,,,,,,,,
,,,bah,101,97,84,108,104,88,,,,,,,,,
,,,bah,88,85,80,100,98,92,,,,,,,,,
