Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,BAh,98,88,78,110,101,90,,,,,,,,,
,,,BAh,89,79,,103,93,,,,,,,,,,
,,,BAh,121,94,,134,101,,,,,,,,,,
,,,BAh,195,166,123,,,,,,,,,,,,
,,,BAh,159,139,118,170,148,126,,,,,,,,,
,,,Esche,75,70,66,97,83,77,1,,,,,,,,
,,,BAh,137,104,,,,,,,,,,,,,
,,,Esche,98,79,67,,,,1,,,,,,,,
,,,BAh,78,65,,140,123,,,,,,,,,,
,SW,,"domestica, Sorbus",285,190,169,307,196,171,,,,,,,,,"129-3424 - 25, 20221122_103909 - 104010"
,,,BAh,102,82,,123,101,,,,,,,,,,
,,,BAh,134,115,75,147,126,81,,,,,,,,,
,SO,,"minor, Ulmus",972,430,125,,,,,,,,,,,Wurzelbrut-Busch,
,,,Esche,54,40,35,,,,1,,,,,,,,
,,,Esche,142,103,97,159,108,100,1,,,,,,,,
,,,BAh,81,68,,85,71,,,,,,,,,,
,,,BAh,154,143,98,169,157,109,,,,,,,,,
,,,BAh,205,182,161,,,,,,,,,,,,
,,,"minor, Ulmus",140,103,65,229,182,131,,,,,,,,Aus aabgestorbener Unterlage ausgetrieben,
,,,Linde,90,66,,,,,,,,,,,,Trieb ist haarig.,
,NO,,Esche,82,71,54,117,112,86,2,,,,,,,,
,,,BAh,135,122,111,,,,,,,,,,,,
,,,BAh,120,109,83,124,109,83,,,,,,,,,
,,,BAh,174,155,129,,,,,,,,,,,,
,,,BAh,243,191,142,,,,,,,,,,,,
,,,BAh,179,148,83,,,,,,,,,,,,
,,,BAh,128,103,,,,,,,,,,,,,
,,,Esche,131,86,35,169,124,66,1,,,,,,,,
,,,Esche,90,71,40,108,87,50,1,,,,,,,,
,,,BAh,150,126,90,164,140,102,,,,,,,,,
,,,BAh,149,126,87,,,,,,,,,,,,
,,,BAh,86,71,,105,88,,,,,,,,,,
34,NW,,BAh,343,260,140,371,280,135,,,,,,,,,
,,,BAh,417,395,204,,,,,,,,,,,,
,,,BAh,374,353,130,384,360,130,,,,,,,,,
,,,Esche,83,69,56,91,73,54,1,,,,,,,,
,,,Esche,137,97,45,178,115,56,2,,,,,,,,
,,,BAh,212,179,157,277,230,191,,,,,,,,,
,,,BAh,310,190,124,,,,,,,,,,,,
,,,BAh,341,254,152,,,,,,,,,,,,
,SW,,BAh,109,88,,113,89,,,,,,,,,,
,,,BAh,146,121,105,,,,,,,,,,,,
,,,Esche,110,86,57,114,90,60,1,,,,,,,,
,,,Esche,112,82,48,128,82,48,1,,,,,,,,
,,,BAh,115,95,61,130,104,69,,,,,,,,,
,,,BAh,280,255,217,305,260,220,,,,,,,,,
,,,BAh,209,141,,,,,,,,,,,,,
,,,BAh,218,160,87,257,185,98,,,,,,,,,
,,,BAh,202,129,,204,131,,,,,,,,,,
,SO,,Esche,133,95,44,170,130,71,2,,,,,,1,,
,,,BAh,288,200,134,,,,,,,,,,,,
,,,BAh,132,112,89,150,130,105,,,,,,,,,
