Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,bah,147,125,93,,,,,,,,,,,,
,,,bah,93,87,78,,,,,,,,,,,,
,,,bah,245,186,130,,,,,,,,,,,,
,,,bah,80,68,,,,,,,,,,,,,
,,,bah,155,130,101,,,,,,,,,,,,
,,,bah,144,134,128,,,,,,,,,,,,
,,,bah,161,137,88,,,,,,,,,,,,
,,,bah,115,95,,,,,,,,,,,,,
,,,bah,208,179,135,,,,,,,,,,,,
,,,bah,267,175,135,,,,,,,,,,,,
,,,bah,220,152,110,,,,,,,,,,,,
23,sw,,bah,241,219,206,,,,,,,,,,,,
,,,bah,161,145,131,,,,,,,,,,,,
,,,bah,225,205,123,,,,,,,,,,,,
,,,bah,144,136,95,,,,,,,,,,,,
,,,bah,211,184,164,,,,,,,,,,,,
,,,bah,308,270,156,,,,,,,,,,,,
,,,esche,96,,,,,,1,,,,,,,,
,,,bah,96,76,,,,,,,,,,,,,
,,,esche,135,99,,176,128,,,,,,,,,,
,so,,bah,100,90,76,,,,,,,,,,,,
,,,bah,219,141,128,,,,,,,,,,,,
,,,bah,75,66,60,,,,,,,,,,,,
,,,bah,245,203,163,,,,,,,,,,,,
,,,bah,214,188,137,,,,,,,,,,,,
,,,bah,303,258,208,,,,,,,,,,,,
,,,bah,93,70,,,,,,,,,,,,,
,,,esche,88,,,,,,1,,,,,,,,
,,,bah,300,207,141,,,,,,,,,,,,
,,,bah,170,122,93,,,,,,,,,,,,
,,,bah,233,151,108,,,,,,,,,,,,
,,,bah,157,122,115,,,,,,,,,,,,
,no,,bah,175,157,112,,,,,,,,,,,,
,,,bah,234,184,118,,,,,,,,,,,,
,,,bah,225,178,122,,,,,,,,,,,,
,nw,,bah,260,215,131,,,,,,,,,,,,
,,,esche,190,155,103,,,,1,,,,,,,,
,,,bah,187,142,121,,,,,,,,,,,,
,,,bah,146,117,102,,,,,,,,,,,,
,,,bah,103,93,85,,,,,,,,,,,,
,,,bah,214,170,144,224,180,140,,,,,,,,,
,,,esche,95,,,,,,1,,,,,,,,
,,,bah,234,203,152,,,,,,,,,,,,
,,,bah,306,253,150,,,,,,,,,,,,
,,,bah,211,172,128,,,,,,,,,,,,
,,,esche,735,576,465,,,,26,,,,,,5,aceria fraxiniflora,
24,nw,,esche,196,147,76,230,154,90,2,,,,,,,,
,,,bah,200,181,127,,,,,,,,,,,,
,,,esche,105,122,,205,122,,2,,,,,,,knick,
,,,esche,140,106,55,171,109,56,1,,,,,,,,
,,,esche,141,105,57,,,,1,,,,,,,,
,,,esche,98,65,,,,,1,,,,,,,,
,,,esche,135,85,62,,,,1,,,,,,,,
,sw,,esche,137,130,95,,,,1,,,,,,,,
,,,esche,115,103,,,,,3,,,,,,1,,
,,,bah,190,150,134,,,,,,,,,,,,
,no,,esche,100,77,55,180,130,80,1,,,,,,,,
,,,esche,104,79,48,,,,1,,,,,,,,
,so,,bah,232,153,95,,,,,,,,,,,,
,,,esche,81,,,,,,1,,,,,,,,
,,,esche,80,48,25,128,80,30,1,,,,,,,,
,,,esche,1315,1045,830,,,,14,2,,,,,2,,
25,nswo,, ,,,,,,,,,,,,,,keine baeumr,
26,sw,,bah,183,154,113,204,172,130,,,,,,,,,
,,,bah,171,165,153,,,,,,,,,,,,
,,,bah,258,216,173,,,,,,,,,,,,
,,,bah,197,141,100,,,,,,,,,,,,
,,,bah,145,198,83,,,,,,,,,,,,
,,,esche,76,,,,,,1,,,,,,,,
,,,bah,447,385,195,,,,,,,,,,,,
,no,,bah,133,101,,,,,,,,,,,,,
,,,bah,468,365,326,,,,,,,,,,,,
,,,bah,347,220,163,,,,,,,,,,,,
,,,bah,380,367,258,,,,,,,,,,,,
,,,bah,266,203,151,,,,,,,,,,,,
