lfdNR.,Baumart,BHD,Kraftsche Klasse,Zwiesel,X,Y,Ost (UTM Z33 N),Nord (UTM Z33 N)
122,BAH,17.5,4,0,135.2,65.6,426448.815292863,5629771.77983999
123,BAH,15.5,5,0,135.7,64.2,426449.18091909,5629770.33314405
124,BAH,23,2,0,131.9,63.1,426445.278778548,5629769.59766196
125,BAH,18,3,0,134.5,58.8,426447.46518621,5629765.05239898
126,BAH,9,5,0,135.3,58.3,426448.2166859,5629764.47625839
127,GBI,21.5,1,0,136.7,60,426449.778207857,5629766.04090041
128,BAH,27,1,0,138.9,57.5,426451.737182614,5629763.33243647
129,BAH,13.5,5,0,133.6,56.1,426446.30756582,5629762.44073295
130,GES,38,1,0,133.5,55,426446.102390653,5629761.35120397
131,BAH,22.5,2,0,140.4,53.6,426452.862767801,5629759.2921026
132,BAH,25,1,0,143.4,48.2,426455.343590212,5629753.60946647
133,BAH,26.5,1,0,135.4,46.8,426447.216187873,5629752.97612149
134,BAH,16,4,0,134.7,45.6,426446.401935973,5629751.84408754
135,BAH,15,5,0,137.7,46.1,426449.447319641,5629752.05661241
136,BAH,20,3,0,143.9,45.7,426455.603959255,5629751.06367272
137,BAH,20.5,3,0,146,43.6,426457.501291369,5629748.76444954
138,BAH,9,5,0,144.1,44.3,426455.669831534,5629749.64568328
139,BAH,20,5,0,141.9,43.1,426453.356809886,5629748.65718185
140,BAH,12,5,0,139.9,41.5,426451.205348866,5629747.24987082
141,BAH,18,5,0,138.5,40.2,426449.682102249,5629746.08490073
142,BAH,15,5,0,134.8,42.4,426446.19565124,5629748.63714325
143,BAH,20.5,2,0,132.4,46.4,426444.18037304,5629752.86351461
144,BAH,11.5,5,0,132.1,51.2,426444.339923164,5629757.6882843
145,BAH,22.5,1,0,127.1,55.1,426439.717208568,5629762.06352739
146,BAH,12.5,5,0,131.3,44.6,426442.909036198,5629751.17024809
147,BAH,17,4,0,130.3,44.5,426441.900287532,5629751.16601846
148,BAH,34.5,1,0,129.6,59.6,426442.645755715,5629766.32061576
149,GBI,38,1,0,122.6,60.9,426435.77589175,5629768.28936798
150,BAH,22,3,0,123.7,63.8,426437.152485775,5629771.08173231
151,WLI,8.5,5,0,124.1,65.1,426437.676552561,5629772.34239075
152,WLI,7,5,0,123.7,65.8,426437.343862473,5629773.08009197
153,BAH,24,3,0,126.8,67.3,426440.584852473,5629774.28222783
154,BAH,22,2,0,123.3,69,426437.250393256,5629776.31574277
155,SEI,31,1,0,122.5,65.7,426436.13527784,5629773.095
156,BAH,10.5,5,0,118.8,71,426432.945460713,5629778.7447
157,BAH,22,1,0,121.2,72.2,426435.458318326,5629779.71406376
158,GBI,26,1,0,122.6,75.5,426437.172941641,5629782.87739351
159,BAH,20,3,0,119.2,73.2,426433.555647012,5629780.90462029
160,WLI,26,1,0,119.4,77.9,426434.205218218,5629785.58162783
161,WLI,22.5,3,0,118.8,81.4,426433.940619539,5629789.13617024
162,WLI,12,4,0,120,83.1,426435.30230553,5629790.71994994
163,WLI,8.5,5,0,119.6,84.6,426435.04616612,5629792.25699503
164,WLI,10.5,5,0,119.2,86.1,426434.790026711,5629793.79404011
165,WLI,12.5,5,0,117.5,85.9,426433.072283328,5629793.75687434
166,WLI,20,3,0,116.1,87.2,426431.797826417,5629795.18977181
167,GBI,31,1,0,115.9,82.6,426431.157824047,5629790.61268225
168,GBI,23.5,1,0,113.4,90.5,426429.415812424,5629798.74542379
169,SEI,30,1,0,111.8,93.9,426428.142465079,5629802.29573658
170,GBI,23.5,1,0,111.9,97.8,426428.615567622,5629806.18296908
171,SEI,10,5,0,111.4,98.6,426428.192528386,5629807.03015712
172,BAH,17.5,4,0,111.8,99.5,426428.678319832,5629807.89114363
173,GBI,11,4,0,111.4,102,426428.517868771,5629810.42736855
174,GBI,18,2,0,107.8,102.3,426424.949527883,5629811.07160055
175,GBI,23.5,1,0,103.7,102,426420.82418407,5629811.16416883
176,BAH,10,5,0,103.7,100.8,426420.709358052,5629809.96515304
177,GBI,21,1,0,103.8,99.4,426420.675312347,5629808.55673244
