OBJECTID,NR_FM,BNR,ART,wb_H_M,wb_Kraft,wb_KZSTND_,wb_WR_kron,wb_Notiz,xcoord,ycoord,DBH_mm,BHD_CM,Height_m,Status,Schicht,BA_Gruppe
262,241,241,Alnus glutinosa,0,,0,,,430151.33,5893426.15,390,39,,100,1,Er
263,242,242,Alnus glutinosa,0,,0,,,430149.34,5893425.85,360,36,,100,1,Er
264,243,243,Alnus glutinosa,0,,0,,,430148.45,5893425.29,360,36,,100,1,Er
265,244,244,Alnus glutinosa,0,,0,,,430151.05,5893423.34,260,26,,100,1,Er
266,245,245,Alnus glutinosa,0,,0,,,430150.04,5893421.19,200,20,,100,2,Er
267,246,246,Alnus glutinosa,0,,0,,,430148.66,5893417.78,360,36,,100,1,Er
268,247,247,Alnus glutinosa,0,,0,,,430148.72,5893417.18,380,38,,100,1,Er
269,248,248,Alnus glutinosa,0,,0,,,430149.2,5893417.68,330,33,,100,1,Er
270,249,249,Alnus glutinosa,0,,0,,,430149.91,5893416.37,340,34,,100,2,Er
271,250,250,Alnus glutinosa,0,,0,,,430147.03,5893429.14,470,47,,100,1,Er
272,251,251,Alnus glutinosa,0,,0,,,430145.99,5893428.34,380,38,,100,1,Er
273,252,252,Alnus glutinosa,0,,0,,,430145.38,5893426.11,190,19,,100,2,Er
274,253,253,Alnus glutinosa,0,,0,,,430146.24,5893422.65,330,33,,100,1,Er
275,254,254,Alnus glutinosa,0,,0,,,430142.07,5893425.64,310,31,,100,1,Er
276,255,255,Alnus glutinosa,0,,0,,,430141.21,5893425.37,410,41,,100,1,Er
277,256,256,Alnus glutinosa,0,,0,,,430138.83,5893424.96,540,54,,100,1,Er
278,257,257,Alnus glutinosa,0,,0,,,430136.27,5893427.51,530,53,,100,1,Er
279,258,258,Alnus glutinosa,0,,0,,,430139.74,5893419.32,310,31,,100,1,Er
280,259,259,Alnus glutinosa,0,,0,,,430139.54,5893417.53,490,49,,100,1,Er
281,260,260,Alnus glutinosa,0,,0,,,430143.55,5893416.04,350,35,,100,1,Er
282,261,261,Alnus glutinosa,0,,0,,,430144.04,5893416.54,320,32,,100,1,Er
283,262,262,Alnus glutinosa,0,,0,,,430132.3,5893418.28,480,48,,100,1,Er
284,263,263,Alnus glutinosa,0,,0,,,430126.6,5893419.44,370,37,,100,1,Er
285,264,264,Alnus glutinosa,0,,0,,,430125.62,5893419.41,340,34,,100,1,Er
286,265,265,Alnus glutinosa,0,,0,,,430123.17,5893420.41,470,47,,100,1,Er
287,266,266,Alnus glutinosa,0,,0,,,430120.15,5893419.04,400,40,,100,1,Er
288,267,267,Alnus glutinosa,0,,0,,,430128.88,5893430.4,620,62,,100,1,Er
289,268,268,Alnus glutinosa,0,,0,,,430127.66,5893425.98,410,41,,100,1,Er
