,ID_plot,Im_Zaun,Plotnummer,Flaeche
15419,7Ste,F,7,Stegelitz
14712,8Ste,F,8,Stegelitz
14709,9Ste,F,9,Stegelitz
14708,10Ste,F,10,Stegelitz
14984,11Ste,F,11,Stegelitz
15402,12Ste,F,12,Stegelitz
14997,13Ste,F,13,Stegelitz
15457,14Ste,F,14,Stegelitz
14743,15Ste,F,15,Stegelitz
14749,16Ste,F,16,Stegelitz
14759,17Ste,F,17,Stegelitz
14765,18Ste,F,18,Stegelitz
14766,19Ste,F,19,Stegelitz
14767,20Ste,F,20,Stegelitz
14770,21Ste,F,21,Stegelitz
14779,22Ste,F,22,Stegelitz
15461,23Ste,F,23,Stegelitz
15074,24Ste,F,24,Stegelitz
15374,25Ste,F,25,Stegelitz
14695,26Ste,F,26,Stegelitz
14672,27Ste,F,27,Stegelitz
14665,28Ste,F,28,Stegelitz
14657,29Ste,F,29,Stegelitz
14641,30Ste,F,30,Stegelitz
14638,31Ste,F,31,Stegelitz
15372,32Ste,F,32,Stegelitz
15110,33Ste,F,33,Stegelitz
15469,34Ste,F,34,Stegelitz
14791,35Ste,F,35,Stegelitz
14812,36Ste,F,36,Stegelitz
14818,37Ste,F,37,Stegelitz
14835,38Ste,F,38,Stegelitz
14836,39Ste,F,39,Stegelitz
14847,40Ste,F,40,Stegelitz
15646,41Ste,F,41,Stegelitz
15629,42Ste,F,42,Stegelitz
15501,43Ste,F,43,Stegelitz
15111,44Ste,F,44,Stegelitz
15364,45Ste,F,45,Stegelitz
14632,46Ste,F,46,Stegelitz
14636,47Ste,F,47,Stegelitz
14637,48Ste,F,48,Stegelitz
14623,49Ste,F,49,Stegelitz
14624,50Ste,F,50,Stegelitz
14625,51Ste,F,51,Stegelitz
15359,52Ste,F,52,Stegelitz
15149,53Ste,F,53,Stegelitz
15516,54Ste,F,54,Stegelitz
15626,55Ste,F,55,Stegelitz
15688,56Ste,F,56,Stegelitz
14869,57Ste,F,57,Stegelitz
14877,58Ste,F,58,Stegelitz
14895,59Ste,F,59,Stegelitz
14938,60Ste,F,60,Stegelitz
15754,61Ste,F,61,Stegelitz
15714,62Ste,F,62,Stegelitz
15614,63Ste,F,63,Stegelitz
15519,64Ste,F,64,Stegelitz
15183,65Ste,F,65,Stegelitz
15341,66Ste,F,66,Stegelitz
14620,67Ste,F,67,Stegelitz
14621,68Ste,F,68,Stegelitz
14622,69Ste,F,69,Stegelitz
14617,70Ste,F,70,Stegelitz
14618,71Ste,F,71,Stegelitz
14619,72Ste,F,72,Stegelitz
15261,73Ste,F,73,Stegelitz
15217,74Ste,F,74,Stegelitz
15540,75Ste,F,75,Stegelitz
15598,76Ste,F,76,Stegelitz
15716,77Ste,F,77,Stegelitz
15749,78Ste,F,78,Stegelitz
14979,79Ste,F,79,Stegelitz
14961,80Ste,F,80,Stegelitz
14978,81Ste,F,81,Stegelitz
15737,82Ste,F,82,Stegelitz
15735,83Ste,F,83,Stegelitz
15718,84Ste,F,84,Stegelitz
15578,85Ste,F,85,Stegelitz
15565,86Ste,F,86,Stegelitz
15245,87Ste,F,87,Stegelitz
