"ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total"
"73Huy",73,"Huy",0,0,0,0,0,53,5,46,96.9,70,560,3,3,0,3
"72Huy",72,"Huy",0,0,0,0,0,9,3,1,667.2,382,1550,65,0,0,0
"69Huy",69,"Huy",0,0,0,0,0,21,5,13,226.6,139,1425,21,0,1,1
"67Huy",67,"Huy",0,0,0,0,0,42,4,31,242.5,234,593,49,2,5,7
"74Huy",74,"Huy",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"71Huy",71,"Huy",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"70Huy",70,"Huy",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"17Huy",17,"Huy",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"61Huy",61,"Huy",0,1,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"49Huy",49,"Huy",0,1,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"62Huy",62,"Huy",0,0,0,0,0,17,2,14,347.7,143,1130,50,0,2,2
"63Huy",63,"Huy",0,0,0,0,0,25,3,21,158.3,112,599,40,0,1,1
"64Huy",64,"Huy",0,0,0,0,0,15,3,6,418.5,421,860,59,0,4,4
"48Huy",48,"Huy",0,0,0,0,0,53,3,31,253.4,220,1034,80,1,3,4
"45Huy",45,"Huy",0,0,0,0,0,1,1,1,165,165,165,165,0,0,0
"46Huy",46,"Huy",0,0,0,0,0,2,1,2,40,40,50,30,0,0,0
"47Huy",47,"Huy",0,0,0,0,0,5,1,5,108.2,75,259,50,1,0,1
"27Huy",27,"Huy",0,0,0,0,0,3,2,2,32.7,41,44,13,0,0,0
"28Huy",28,"Huy",0,0,0,0,0,2,1,2,69.5,69.5,79,60,0,0,0
"26Huy",26,"Huy",0,0,0,0,0,5,2,4,46.6,50,70,20,0,0,0
"9Huy",9,"Huy",0,0,0,0,0,7,1,7,63.7,69,84,30,0,0,0
"8Huy",8,"Huy",0,0,0,0,0,64,4,60,130,104.5,570,28,2,5,7
"54Huy",54,"Huy",0,0,0,0,0,3,1,0,2031.7,2155,2790,1150,0,0,0
"40Huy",40,"Huy",0,0,0,0,0,54,3,44,90.5,75,465,38,2,0,2
"52Huy",52,"Huy",0,0,0,0,0,9,2,5,562.1,127,3383,47,0,0,0
"42Huy",42,"Huy",0,0,0,0,0,56,3,50,192.5,60.5,7160,10,0,1,1
"44Huy",44,"Huy",0,0,0,0,0,19,2,17,299.9,94,2293,62,0,2,2
"34Huy",34,"Huy",0,0,0,0,0,7,2,6,65.9,57,113,47,0,0,0
"32Huy",32,"Huy",0,0,0,0,0,46,3,41,132.2,105,334,46,3,2,4
"30Huy",30,"Huy",0,0,0,0,0,55,3,47,167.2,83,1295,37,2,3,5
"38Huy",38,"Huy",0,0,1,0,0,41,4,31,94.6,88,199,13,0,1,1
"56Huy",56,"Huy",0,0,0,0,0,3,1,3,64,54,104,34,0,0,0
"57Huy",57,"Huy",0,0,0,0,0,40,4,34,92.2,81,235,36,1,2,3
"36Huy",36,"Huy",0,0,0,0,0,18,1,18,98.2,100,144,39,2,0,2
"19Huy",19,"Huy",0,0,1,0,0,29,3,22,109.9,108,242,35,2,1,3
"14Huy",14,"Huy",0,0,0,0,0,110,3,84,89.3,83,168,14,0,0,0
"21Huy",21,"Huy",0,0,0,0,0,78,6,64,177.6,103.5,1870,42,3,1,4
"23Huy",23,"Huy",0,0,0,0,0,8,2,1,353,205.5,1245,83,0,0,0
"24Huy",24,"Huy",0,0,0,0,0,90,4,41,126.2,115.5,420,53,0,3,3
"31Huy",31,"Huy",0,0,0,0,0,19,3,13,93.4,95,177,33,0,0,0
"33Huy",33,"Huy",0,0,0,0,0,62,4,42,88.5,68,290,25,0,0,0
"3Wei",3,"Weisweil",0,0,0,0,1,18,3,0,530.6,479.5,1437,97,0,0,0
"8Wei",8,"Weisweil",0,0,0,0,0,61,3,0,62.4,60,102,27,0,0,0
"14Wei",14,"Weisweil",0,0,0,0,0,119,3,2,112.3,98,281,40,0,0,0
"19Wei",19,"Weisweil",0,0,0,0,1,16,4,3,453.3,176.5,2350,82,0,0,0
"27Wei",27,"Weisweil",0,0,0,0,0,91,1,0,128.4,114,412,55,0,0,0
